scenario,seed,hours,onset_hours,duration_hours,noise_scale,cadence_minutes,source,detected_before_failure,ouranos_warning_hours,anomaly_detection_hours,conventional_alert_hours,failure_hours,degradation_start_hours,reference_detectable_hours,lead_time_hours,false_alert_events,healthy_exposure_hours,warning_subsystem,subsystem_correct,tp,fp,tn,fn,precision,recall,true_positive_rate,false_positive_rate
battery,1079,240,58.60138274600111,160.61767818458844,1.2344651380228264,5,SIMULATED DATA,True,72.25,60.333333333333336,194.16666666666666,219.25,58.666666666666664,72.75,121.91666666666667,0,52.666666666666664,BATTERY,True,1764,0,632,163,1.0,0.915412558380903,0.915412558380903,0.0
solar,1080,240,57.76460907948528,155.58466170285294,1.0513204283901838,5,SIMULATED DATA,True,89.16666666666667,64.75,174.58333333333334,213.41666666666666,57.833333333333336,127.16666666666667,85.41666666666667,0,51.833333333333336,POWER,True,1412,0,622,455,1.0,0.7562935190144617,0.7562935190144617,0.0
reaction_wheel,1081,240,46.68759021485743,160.45647843381147,0.9510153227750332,5,SIMULATED DATA,True,65.41666666666667,53.5,173.91666666666666,207.16666666666666,46.75,57.833333333333336,108.5,0,40.75,ADCS,True,1701,0,489,224,1.0,0.8836363636363637,0.8836363636363637,0.0
battery,1082,240,52.67004580194816,122.53102576379251,0.9676971035083609,5,SIMULATED DATA,True,62.833333333333336,57.416666666666664,156.0,175.25,52.75,61.916666666666664,93.16666666666667,0,46.75,BATTERY,True,1349,0,561,121,1.0,0.917687074829932,0.917687074829932,0.0
solar,1083,240,45.69499941833847,152.94050279157182,0.8246509706127358,5,SIMULATED DATA,True,81.83333333333333,51.166666666666664,162.58333333333334,198.66666666666666,45.75,99.16666666666667,80.75,0,39.75,POWER,True,1379,0,477,456,1.0,0.7514986376021798,0.7514986376021798,0.0
reaction_wheel,1084,240,56.2060540516981,103.40868629320582,1.1106509019829789,5,SIMULATED DATA,True,66.16666666666667,60.833333333333336,139.83333333333334,159.66666666666666,56.25,64.41666666666667,73.66666666666667,0,50.25,ADCS,True,1122,0,603,119,1.0,0.9041095890410958,0.9041095890410958,0.0
battery,1085,240,56.4407130716088,129.72792727451673,1.1208110439467285,5,SIMULATED DATA,True,66.58333333333333,58.916666666666664,166.41666666666666,186.25,56.5,68.0,99.83333333333333,0,50.5,BATTERY,True,1436,0,606,121,1.0,0.922286448298009,0.922286448298009,0.0
solar,1086,240,56.01567335645174,109.7216342512367,1.1581558080913137,5,SIMULATED DATA,True,78.25,58.166666666666664,139.58333333333334,165.75,56.083333333333336,108.08333333333333,61.333333333333336,0,50.083333333333336,POWER,True,1003,0,601,313,1.0,0.7621580547112462,0.7621580547112462,0.0
reaction_wheel,1087,240,47.650748935513384,104.49797577532445,0.9911142894246212,5,SIMULATED DATA,True,58.833333333333336,54.25,132.0,152.16666666666666,47.666666666666664,55.333333333333336,73.16666666666667,0,41.666666666666664,ADCS,True,1120,0,500,134,1.0,0.8931419457735247,0.8931419457735247,0.0
battery,1088,240,49.62881346286616,102.53100144470689,1.19085218900508,5,SIMULATED DATA,True,57.583333333333336,52.333333333333336,136.0,152.16666666666666,49.666666666666664,58.916666666666664,78.41666666666667,0,43.666666666666664,BATTERY,True,1135,0,524,95,1.0,0.9227642276422764,0.9227642276422764,0.0
solar,1089,240,38.34259018589636,151.64342617318994,1.0687347946217371,5,SIMULATED DATA,True,69.75,46.75,152.58333333333334,190.0,38.416666666666664,107.66666666666667,82.83333333333333,0,32.416666666666664,POWER,True,1400,0,389,419,1.0,0.7696536558548653,0.7696536558548653,0.0
reaction_wheel,1090,240,52.24678675805248,111.13603529315492,0.9500544812064988,5,SIMULATED DATA,True,62.75,59.25,141.5,163.41666666666666,52.25,60.166666666666664,78.75,0,46.25,ADCS,True,1208,0,555,126,1.0,0.9055472263868066,0.9055472263868066,0.0
battery,1091,240,37.8468721468218,110.02944007885498,1.041873868868773,5,SIMULATED DATA,True,46.666666666666664,42.25,131.0,147.91666666666666,37.916666666666664,46.833333333333336,84.33333333333333,0,31.916666666666668,BATTERY,True,1215,0,383,105,1.0,0.9204545454545454,0.9204545454545454,0.0
