year,feature,training_median_scaled,year_median_scaled,outside_training_1_99_fraction
2005,channel_44_last,0.0,-0.03839937597513199,0.02125
2005,channel_44_min,0.0,-0.0385054275393486,0.02205
2005,channel_44_max,0.0,-0.03843031823635101,0.01995
2005,channel_44_std,0.0,0.0,0.0128
2005,channel_45_last,-0.06127030402421951,-0.12244163453578949,0.01265
2005,channel_45_min,0.0,-0.12287519872188568,0.00485
2005,channel_45_max,0.0,-0.061271194368600845,0.02
2005,channel_45_std,0.0,0.0,0.01325
2005,channel_46_last,0.0,-0.05804774910211563,0.014
2005,channel_46_min,-0.058594442903995514,-0.11718888580799103,0.0082
2005,channel_46_max,0.0,-0.058654867112636566,0.01245
2005,channel_46_std,0.0,0.0,0.01125
2005,channel_41_difference,0.0,0.0,0.0268
2005,channel_42_difference,0.0,0.0,0.02525
2005,channel_43_difference,0.0,0.0,0.0257
2005,channel_44_difference,0.0,0.0,0.0235
2005,channel_45_difference,0.0,0.0,0.02985
2005,channel_46_difference,0.0,0.0,0.0264
2006,channel_41_last,0.0,-0.12259621918201447,0.01105
2006,channel_41_min,0.0,-0.12308067828416824,0.01065
2006,channel_41_max,0.0614745132625103,-0.061469849199056625,0.0253
2006,channel_41_std,0.0,0.0,0.01045
2006,channel_42_last,-0.0580093152821064,-0.1160186305642128,0.01575
2006,channel_42_min,-0.058607231825590134,-0.11721446365118027,0.013
2006,channel_42_max,-0.05846540257334709,-0.11693080514669418,0.01305
2006,channel_42_std,0.0,0.0,0.0115
2006,channel_43_last,0.0,-0.019912127405405045,0.01585
2006,channel_43_min,-0.019979046657681465,-0.03992351144552231,0.0094
2006,channel_43_max,0.0,-0.03981959447264671,0.01325
2006,channel_43_std,0.0,0.0,0.01205
2006,channel_44_last,0.0,-0.03839937597513199,0.0195
2006,channel_44_min,0.0,-0.0385054275393486,0.0207
2006,channel_44_max,0.0,-0.03843031823635101,0.01675
2006,channel_44_std,0.0,0.0,0.0127
2006,channel_45_last,-0.06127030402421951,-0.12244163453578949,0.01135
2006,channel_45_min,0.0,-0.12287519872188568,0.0038
2006,channel_45_max,0.0,-0.061271194368600845,0.0187
2006,channel_45_std,0.0,0.0,0.0101
2006,channel_46_last,0.0,-0.05804774910211563,0.0156
2006,channel_46_min,-0.058594442903995514,-0.11718888580799103,0.00995
2006,channel_46_max,0.0,-0.058654867112636566,0.0132
2006,channel_46_std,0.0,0.0,0.0132
2006,channel_41_difference,0.0,0.0,0.01865
2006,channel_42_difference,0.0,0.0,0.0189
2006,channel_43_difference,0.0,0.0,0.01525
2006,channel_44_difference,0.0,0.0,0.0165
2006,channel_45_difference,0.0,0.0,0.01955
